audio_path,face_path,identity,facenet_feats_path,label,ecappa_feats_path,wavlmsv_feats_path
./v3/voices/id0001/German/OmqPjkYoqRo/00001.wav,./v3/faces/id0001/German/OmqPjkYoqRo/000180075.jpg,id0001,./facenetfeats/v3\faces\id0001\German\OmqPjkYoqRo\000180075.npy,0.0,./ecappafeats/v3\voices\id0001\German\OmqPjkYoqRo\00001.npy,./wavlmsvfeats/v3\voices\id0001\German\OmqPjkYoqRo\00001.npy
./v3/voices/id0001/German/OmqPjkYoqRo/00003.wav,./v3/faces/id0001/German/OmqPjkYoqRo/000290100.jpg,id0001,./facenetfeats/v3\faces\id0001\German\OmqPjkYoqRo\000290100.npy,0.0,./ecappafeats/v3\voices\id0001\German\OmqPjkYoqRo\00003.npy,./wavlmsvfeats/v3\voices\id0001\German\OmqPjkYoqRo\00003.npy
./v3/voices/id0001/German/OmqPjkYoqRo/00005.wav,./v3/faces/id0001/German/OmqPjkYoqRo/000340075.jpg,id0001,./facenetfeats/v3\faces\id0001\German\OmqPjkYoqRo\000340075.npy,0.0,./ecappafeats/v3\voices\id0001\German\OmqPjkYoqRo\00005.npy,./wavlmsvfeats/v3\voices\id0001\German\OmqPjkYoqRo\00005.npy
./v3/voices/id0001/German/OmqPjkYoqRo/00007.wav,./v3/faces/id0001/German/OmqPjkYoqRo/000070075.jpg,id0001,./facenetfeats/v3\faces\id0001\German\OmqPjkYoqRo\000070075.npy,0.0,./ecappafeats/v3\voices\id0001\German\OmqPjkYoqRo\00007.npy,./wavlmsvfeats/v3\voices\id0001\German\OmqPjkYoqRo\00007.npy
./v3/voices/id0001/German/OmqPjkYoqRo/00008.wav,./v3/faces/id0001/German/OmqPjkYoqRo/000200200.jpg,id0001,./facenetfeats/v3\faces\id0001\German\OmqPjkYoqRo\000200200.npy,0.0,./ecappafeats/v3\voices\id0001\German\OmqPjkYoqRo\00008.npy,./wavlmsvfeats/v3\voices\id0001\German\OmqPjkYoqRo\00008.npy
./v3/voices/id0001/German/OmqPjkYoqRo/00010.wav,./v3/faces/id0001/German/OmqPjkYoqRo/000250075.jpg,id0001,./facenetfeats/v3\faces\id0001\German\OmqPjkYoqRo\000250075.npy,0.0,./ecappafeats/v3\voices\id0001\German\OmqPjkYoqRo\00010.npy,./wavlmsvfeats/v3\voices\id0001\German\OmqPjkYoqRo\00010.npy
./v3/voices/id0001/German/OmqPjkYoqRo/00011.wav,./v3/faces/id0001/German/OmqPjkYoqRo/000160075.jpg,id0001,./facenetfeats/v3\faces\id0001\German\OmqPjkYoqRo\000160075.npy,0.0,./ecappafeats/v3\voices\id0001\German\OmqPjkYoqRo\00011.npy,./wavlmsvfeats/v3\voices\id0001\German\OmqPjkYoqRo\00011.npy
./v3/voices/id0001/German/OmqPjkYoqRo/00012.wav,./v3/faces/id0001/German/OmqPjkYoqRo/000110525.jpg,id0001,./facenetfeats/v3\faces\id0001\German\OmqPjkYoqRo\000110525.npy,0.0,./ecappafeats/v3\voices\id0001\German\OmqPjkYoqRo\00012.npy,./wavlmsvfeats/v3\voices\id0001\German\OmqPjkYoqRo\00012.npy
./v3/voices/id0001/German/OmqPjkYoqRo/00013.wav,./v3/faces/id0001/German/OmqPjkYoqRo/000330700.jpg,id0001,./facenetfeats/v3\faces\id0001\German\OmqPjkYoqRo\000330700.npy,0.0,./ecappafeats/v3\voices\id0001\German\OmqPjkYoqRo\00013.npy,./wavlmsvfeats/v3\voices\id0001\German\OmqPjkYoqRo\00013.npy
./v3/voices/id0001/German/OmqPjkYoqRo/00014.wav,./v3/faces/id0001/German/OmqPjkYoqRo/000290175.jpg,id0001,./facenetfeats/v3\faces\id0001\German\OmqPjkYoqRo\000290175.npy,0.0,./ecappafeats/v3\voices\id0001\German\OmqPjkYoqRo\00014.npy,./wavlmsvfeats/v3\voices\id0001\German\OmqPjkYoqRo\00014.npy
./v3/voices/id0001/German/OmqPjkYoqRo/00016.wav,./v3/faces/id0001/German/OmqPjkYoqRo/000250175.jpg,id0001,./facenetfeats/v3\faces\id0001\German\OmqPjkYoqRo\000250175.npy,0.0,./ecappafeats/v3\voices\id0001\German\OmqPjkYoqRo\00016.npy,./wavlmsvfeats/v3\voices\id0001\German\OmqPjkYoqRo\00016.npy
./v3/voices/id0001/German/OmqPjkYoqRo/00018.wav,./v3/faces/id0001/German/OmqPjkYoqRo/000330300.jpg,id0001,./facenetfeats/v3\faces\id0001\German\OmqPjkYoqRo\000330300.npy,0.0,./ecappafeats/v3\voices\id0001\German\OmqPjkYoqRo\00018.npy,./wavlmsvfeats/v3\voices\id0001\German\OmqPjkYoqRo\00018.npy
./v3/voices/id0001/German/OmqPjkYoqRo/00020.wav,./v3/faces/id0001/German/OmqPjkYoqRo/000140250.jpg,id0001,./facenetfeats/v3\faces\id0001\German\OmqPjkYoqRo\000140250.npy,0.0,./ecappafeats/v3\voices\id0001\German\OmqPjkYoqRo\00020.npy,./wavlmsvfeats/v3\voices\id0001\German\OmqPjkYoqRo\00020.npy
./v3/voices/id0001/German/OmqPjkYoqRo/00022.wav,./v3/faces/id0001/German/OmqPjkYoqRo/000030325.jpg,id0001,./facenetfeats/v3\faces\id0001\German\OmqPjkYoqRo\000030325.npy,0.0,./ecappafeats/v3\voices\id0001\German\OmqPjkYoqRo\00022.npy,./wavlmsvfeats/v3\voices\id0001\German\OmqPjkYoqRo\00022.npy
./v3/voices/id0001/German/OmqPjkYoqRo/00023.wav,./v3/faces/id0001/German/OmqPjkYoqRo/000330650.jpg,id0001,./facenetfeats/v3\faces\id0001\German\OmqPjkYoqRo\000330650.npy,0.0,./ecappafeats/v3\voices\id0001\German\OmqPjkYoqRo\00023.npy,./wavlmsvfeats/v3\voices\id0001\German\OmqPjkYoqRo\00023.npy
./v3/voices/id0001/German/OmqPjkYoqRo/00025.wav,./v3/faces/id0001/German/OmqPjkYoqRo/000010200.jpg,id0001,./facenetfeats/v3\faces\id0001\German\OmqPjkYoqRo\000010200.npy,0.0,./ecappafeats/v3\voices\id0001\German\OmqPjkYoqRo\00025.npy,./wavlmsvfeats/v3\voices\id0001\German\OmqPjkYoqRo\00025.npy
./v3/voices/id0001/German/OmqPjkYoqRo/00026.wav,./v3/faces/id0001/German/OmqPjkYoqRo/000050250.jpg,id0001,./facenetfeats/v3\faces\id0001\German\OmqPjkYoqRo\000050250.npy,0.0,./ecappafeats/v3\voices\id0001\German\OmqPjkYoqRo\00026.npy,./wavlmsvfeats/v3\voices\id0001\German\OmqPjkYoqRo\00026.npy
./v3/voices/id0001/German/OmqPjkYoqRo/00027.wav,./v3/faces/id0001/German/OmqPjkYoqRo/000230175.jpg,id0001,./facenetfeats/v3\faces\id0001\German\OmqPjkYoqRo\000230175.npy,0.0,./ecappafeats/v3\voices\id0001\German\OmqPjkYoqRo\00027.npy,./wavlmsvfeats/v3\voices\id0001\German\OmqPjkYoqRo\00027.npy
./v3/voices/id0001/German/OmqPjkYoqRo/00029.wav,./v3/faces/id0001/German/OmqPjkYoqRo/000010025.jpg,id0001,./facenetfeats/v3\faces\id0001\German\OmqPjkYoqRo\000010025.npy,0.0,./ecappafeats/v3\voices\id0001\German\OmqPjkYoqRo\00029.npy,./wavlmsvfeats/v3\voices\id0001\German\OmqPjkYoqRo\00029.npy
./v3/voices/id0001/German/OmqPjkYoqRo/00031.wav,./v3/faces/id0001/German/OmqPjkYoqRo/000310075.jpg,id0001,./facenetfeats/v3\faces\id0001\German\OmqPjkYoqRo\000310075.npy,0.0,./ecappafeats/v3\voices\id0001\German\OmqPjkYoqRo\00031.npy,./wavlmsvfeats/v3\voices\id0001\German\OmqPjkYoqRo\00031.npy
./v3/voices/id0001/German/OmqPjkYoqRo/00033.wav,./v3/faces/id0001/German/OmqPjkYoqRo/000180100.jpg,id0001,./facenetfeats/v3\faces\id0001\German\OmqPjkYoqRo\000180100.npy,0.0,./ecappafeats/v3\voices\id0001\German\OmqPjkYoqRo\00033.npy,./wavlmsvfeats/v3\voices\id0001\German\OmqPjkYoqRo\00033.npy
./v3/voices/id0001/German/OmqPjkYoqRo/00034.wav,./v3/faces/id0001/German/OmqPjkYoqRo/000140025.jpg,id0001,./facenetfeats/v3\faces\id0001\German\OmqPjkYoqRo\000140025.npy,0.0,./ecappafeats/v3\voices\id0001\German\OmqPjkYoqRo\00034.npy,./wavlmsvfeats/v3\voices\id0001\German\OmqPjkYoqRo\00034.npy
./v3/voices/id0001/German/O14Izflu0ac/00000.wav,./v3/faces/id0001/German/O14Izflu0ac/000050150.jpg,id0001,./facenetfeats/v3\faces\id0001\German\O14Izflu0ac\000050150.npy,0.0,./ecappafeats/v3\voices\id0001\German\O14Izflu0ac\00000.npy,./wavlmsvfeats/v3\voices\id0001\German\O14Izflu0ac\00000.npy
./v3/voices/id0001/German/O14Izflu0ac/00001.wav,./v3/faces/id0001/German/O14Izflu0ac/000020150.jpg,id0001,./facenetfeats/v3\faces\id0001\German\O14Izflu0ac\000020150.npy,0.0,./ecappafeats/v3\voices\id0001\German\O14Izflu0ac\00001.npy,./wavlmsvfeats/v3\voices\id0001\German\O14Izflu0ac\00001.npy
./v3/voices/id0001/German/O14Izflu0ac/00002.wav,./v3/faces/id0001/German/O14Izflu0ac/000050125.jpg,id0001,./facenetfeats/v3\faces\id0001\German\O14Izflu0ac\000050125.npy,0.0,./ecappafeats/v3\voices\id0001\German\O14Izflu0ac\00002.npy,./wavlmsvfeats/v3\voices\id0001\German\O14Izflu0ac\00002.npy
./v3/voices/id0001/German/O14Izflu0ac/00003.wav,./v3/faces/id0001/German/O14Izflu0ac/000000125.jpg,id0001,./facenetfeats/v3\faces\id0001\German\O14Izflu0ac\000000125.npy,0.0,./ecappafeats/v3\voices\id0001\German\O14Izflu0ac\00003.npy,./wavlmsvfeats/v3\voices\id0001\German\O14Izflu0ac\00003.npy
./v3/voices/id0001/German/O14Izflu0ac/00004.wav,./v3/faces/id0001/German/O14Izflu0ac/000010100.jpg,id0001,./facenetfeats/v3\faces\id0001\German\O14Izflu0ac\000010100.npy,0.0,./ecappafeats/v3\voices\id0001\German\O14Izflu0ac\00004.npy,./wavlmsvfeats/v3\voices\id0001\German\O14Izflu0ac\00004.npy
./v3/voices/id0001/German/O14Izflu0ac/00005.wav,./v3/faces/id0001/German/O14Izflu0ac/000040225.jpg,id0001,./facenetfeats/v3\faces\id0001\German\O14Izflu0ac\000040225.npy,0.0,./ecappafeats/v3\voices\id0001\German\O14Izflu0ac\00005.npy,./wavlmsvfeats/v3\voices\id0001\German\O14Izflu0ac\00005.npy
./v3/voices/id0001/German/qnEJMy05qhU/00000.wav,./v3/faces/id0001/German/qnEJMy05qhU/000002850.jpg,id0001,./facenetfeats/v3\faces\id0001\German\qnEJMy05qhU\000002850.npy,0.0,./ecappafeats/v3\voices\id0001\German\qnEJMy05qhU\00000.npy,./wavlmsvfeats/v3\voices\id0001\German\qnEJMy05qhU\00000.npy
./v3/voices/id0001/German/O51EXXy8QOQ/00005.wav,./v3/faces/id0001/German/O51EXXy8QOQ/000050050.jpg,id0001,./facenetfeats/v3\faces\id0001\German\O51EXXy8QOQ\000050050.npy,0.0,./ecappafeats/v3\voices\id0001\German\O51EXXy8QOQ\00005.npy,./wavlmsvfeats/v3\voices\id0001\German\O51EXXy8QOQ\00005.npy
./v3/voices/id0001/German/QLynKZ222Ic/00000.wav,./v3/faces/id0001/German/QLynKZ222Ic/000002575.jpg,id0001,./facenetfeats/v3\faces\id0001\German\QLynKZ222Ic\000002575.npy,0.0,./ecappafeats/v3\voices\id0001\German\QLynKZ222Ic\00000.npy,./wavlmsvfeats/v3\voices\id0001\German\QLynKZ222Ic\00000.npy
./v3/voices/id0002/German/B62xVmSfm-0/00003.wav,./v3/faces/id0002/German/B62xVmSfm-0/000150025.jpg,id0002,./facenetfeats/v3\faces\id0002\German\B62xVmSfm-0\000150025.npy,1.0,./ecappafeats/v3\voices\id0002\German\B62xVmSfm-0\00003.npy,./wavlmsvfeats/v3\voices\id0002\German\B62xVmSfm-0\00003.npy
./v3/voices/id0002/German/B62xVmSfm-0/00009.wav,./v3/faces/id0002/German/B62xVmSfm-0/000090250.jpg,id0002,./facenetfeats/v3\faces\id0002\German\B62xVmSfm-0\000090250.npy,1.0,./ecappafeats/v3\voices\id0002\German\B62xVmSfm-0\00009.npy,./wavlmsvfeats/v3\voices\id0002\German\B62xVmSfm-0\00009.npy
./v3/voices/id0002/German/B62xVmSfm-0/00013.wav,./v3/faces/id0002/German/B62xVmSfm-0/000090200.jpg,id0002,./facenetfeats/v3\faces\id0002\German\B62xVmSfm-0\000090200.npy,1.0,./ecappafeats/v3\voices\id0002\German\B62xVmSfm-0\00013.npy,./wavlmsvfeats/v3\voices\id0002\German\B62xVmSfm-0\00013.npy
./v3/voices/id0002/German/B62xVmSfm-0/00015.wav,./v3/faces/id0002/German/B62xVmSfm-0/000090150.jpg,id0002,./facenetfeats/v3\faces\id0002\German\B62xVmSfm-0\000090150.npy,1.0,./ecappafeats/v3\voices\id0002\German\B62xVmSfm-0\00015.npy,./wavlmsvfeats/v3\voices\id0002\German\B62xVmSfm-0\00015.npy
./v3/voices/id0004/German/HR-NUPX26H0/00000.wav,./v3/faces/id0004/German/HR-NUPX26H0/000000225.jpg,id0004,./facenetfeats/v3\faces\id0004\German\HR-NUPX26H0\000000225.npy,2.0,./ecappafeats/v3\voices\id0004\German\HR-NUPX26H0\00000.npy,./wavlmsvfeats/v3\voices\id0004\German\HR-NUPX26H0\00000.npy
./v3/voices/id0004/German/HR-NUPX26H0/00001.wav,./v3/faces/id0004/German/HR-NUPX26H0/000040200.jpg,id0004,./facenetfeats/v3\faces\id0004\German\HR-NUPX26H0\000040200.npy,2.0,./ecappafeats/v3\voices\id0004\German\HR-NUPX26H0\00001.npy,./wavlmsvfeats/v3\voices\id0004\German\HR-NUPX26H0\00001.npy
./v3/voices/id0004/German/HR-NUPX26H0/00002.wav,./v3/faces/id0004/German/HR-NUPX26H0/000010175.jpg,id0004,./facenetfeats/v3\faces\id0004\German\HR-NUPX26H0\000010175.npy,2.0,./ecappafeats/v3\voices\id0004\German\HR-NUPX26H0\00002.npy,./wavlmsvfeats/v3\voices\id0004\German\HR-NUPX26H0\00002.npy
./v3/voices/id0004/German/HR-NUPX26H0/00003.wav,./v3/faces/id0004/German/HR-NUPX26H0/000010300.jpg,id0004,./facenetfeats/v3\faces\id0004\German\HR-NUPX26H0\000010300.npy,2.0,./ecappafeats/v3\voices\id0004\German\HR-NUPX26H0\00003.npy,./wavlmsvfeats/v3\voices\id0004\German\HR-NUPX26H0\00003.npy
./v3/voices/id0004/German/HR-NUPX26H0/00004.wav,./v3/faces/id0004/German/HR-NUPX26H0/000050050.jpg,id0004,./facenetfeats/v3\faces\id0004\German\HR-NUPX26H0\000050050.npy,2.0,./ecappafeats/v3\voices\id0004\German\HR-NUPX26H0\00004.npy,./wavlmsvfeats/v3\voices\id0004\German\HR-NUPX26H0\00004.npy
